rtt,x,fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,group_id,step,stored_timestamp
235.824086,,5040,2.4.1,48,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,235.824086,250.191049,245.367766,67553802,1004353,1707394796,Ping,145.224.97.98,ping,67553802,60,1707394921
250.088163,,5040,2.4.1,48,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,235.824086,250.191049,245.367766,67553802,1004353,1707394796,Ping,145.224.97.98,ping,67553802,60,1707394921
250.191049,,5040,2.4.1,48,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,235.824086,250.191049,245.367766,67553802,1004353,1707394796,Ping,145.224.97.98,ping,67553802,60,1707394921
197.49616,,5080,2.6.2,105,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,183.884683,197.49616,188.476536,67553802,1005856,1707394744,Ping,49.237.47.57,ping,67553802,60,1707394859
184.048765,,5080,2.6.2,105,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,183.884683,197.49616,188.476536,67553802,1005856,1707394744,Ping,49.237.47.57,ping,67553802,60,1707394859
183.884683,,5080,2.6.2,105,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,183.884683,197.49616,188.476536,67553802,1005856,1707394744,Ping,49.237.47.57,ping,67553802,60,1707394859
219.488604,,5040,2.4.1,32,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,219.488604,222.127888,220.4724653333,67553802,1004353,1707394855,Ping,145.224.97.98,ping,67553802,60,1707395038
222.127888,,5040,2.4.1,32,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,219.488604,222.127888,220.4724653333,67553802,1004353,1707394855,Ping,145.224.97.98,ping,67553802,60,1707395038
219.800904,,5040,2.4.1,32,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,219.488604,222.127888,220.4724653333,67553802,1004353,1707394855,Ping,145.224.97.98,ping,67553802,60,1707395038
223.11649,,5080,2.6.2,37,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,216.350002,420.007192,286.491228,67553802,1005856,1707394855,Ping,49.237.47.57,ping,67553802,60,1707394917
420.007192,,5080,2.6.2,37,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,216.350002,420.007192,286.491228,67553802,1005856,1707394855,Ping,49.237.47.57,ping,67553802,60,1707394917
216.350002,,5080,2.6.2,37,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,216.350002,420.007192,286.491228,67553802,1005856,1707394855,Ping,49.237.47.57,ping,67553802,60,1707394917
426.058681,,5080,2.6.2,46,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,180.208397,426.058681,330.036305,67553802,1005856,1707394803,Ping,49.237.47.57,ping,67553802,60,1707394917
383.841837,,5080,2.6.2,46,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,180.208397,426.058681,330.036305,67553802,1005856,1707394803,Ping,49.237.47.57,ping,67553802,60,1707394917
180.208397,,5080,2.6.2,46,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,180.208397,426.058681,330.036305,67553802,1005856,1707394803,Ping,49.237.47.57,ping,67553802,60,1707394917
101.934515,,5080,2.6.2,20,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,82.67806,101.934515,92.2615133333,67553802,1006477,1707394803,Ping,14.1.64.76,ping,67553802,60,1707394964
82.67806,,5080,2.6.2,20,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,82.67806,101.934515,92.2615133333,67553802,1006477,1707394803,Ping,14.1.64.76,ping,67553802,60,1707394964
92.171965,,5080,2.6.2,20,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,82.67806,101.934515,92.2615133333,67553802,1006477,1707394803,Ping,14.1.64.76,ping,67553802,60,1707394964
,*,5040,2.4.1,43,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,,48,0,0,3,-1,-1,-1,67553802,1004353,1707394911,Ping,145.224.97.98,ping,67553802,60,1707395124
,*,5040,2.4.1,43,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,,48,0,0,3,-1,-1,-1,67553802,1004353,1707394911,Ping,145.224.97.98,ping,67553802,60,1707395124
,*,5040,2.4.1,43,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,,48,0,0,3,-1,-1,-1,67553802,1004353,1707394911,Ping,145.224.97.98,ping,67553802,60,1707395124
6.456458,,5080,2.6.2,115,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,6.425955,9.592114,7.491509,67553802,1005846,1707394913,Ping,120.28.65.208,ping,67553802,60,1707394977
6.425955,,5080,2.6.2,115,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,6.425955,9.592114,7.491509,67553802,1005846,1707394913,Ping,120.28.65.208,ping,67553802,60,1707394977
9.592114,,5080,2.6.2,115,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,6.425955,9.592114,7.491509,67553802,1005846,1707394913,Ping,120.28.65.208,ping,67553802,60,1707394977
6.501978,,5080,2.6.2,64,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,6.388577,15.201098,9.3638843333,67553802,1005846,1707394862,Ping,120.28.65.208,ping,67553802,60,1707394900
15.201098,,5080,2.6.2,64,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,6.388577,15.201098,9.3638843333,67553802,1005846,1707394862,Ping,120.28.65.208,ping,67553802,60,1707394900
6.388577,,5080,2.6.2,64,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,6.388577,15.201098,9.3638843333,67553802,1005846,1707394862,Ping,120.28.65.208,ping,67553802,60,1707394900
34.848224,,5080,2.6.2,25,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,34.848224,47.793274,40.3013306667,67553802,1006477,1707394863,Ping,14.1.64.76,ping,67553802,60,1707394964
47.793274,,5080,2.6.2,25,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,34.848224,47.793274,40.3013306667,67553802,1006477,1707394863,Ping,14.1.64.76,ping,67553802,60,1707394964
38.262494,,5080,2.6.2,25,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,34.848224,47.793274,40.3013306667,67553802,1006477,1707394863,Ping,14.1.64.76,ping,67553802,60,1707394964
214.604304,,5040,2.4.1,44,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,214.604304,216.482289,215.840132,67553802,1004353,1707394978,Ping,145.224.97.98,ping,67553802,60,1707395124
216.433803,,5040,2.4.1,44,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,214.604304,216.482289,215.840132,67553802,1004353,1707394978,Ping,145.224.97.98,ping,67553802,60,1707395124
216.482289,,5040,2.4.1,44,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,214.604304,216.482289,215.840132,67553802,1004353,1707394978,Ping,145.224.97.98,ping,67553802,60,1707395124
6.568932,,5080,2.6.2,173,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,6.568932,9.433977,8.1180976667,67553802,1005846,1707394971,Ping,120.28.65.208,ping,67553802,60,1707395047
9.433977,,5080,2.6.2,173,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,6.568932,9.433977,8.1180976667,67553802,1005846,1707394971,Ping,120.28.65.208,ping,67553802,60,1707395047
8.351384,,5080,2.6.2,173,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,6.568932,9.433977,8.1180976667,67553802,1005846,1707394971,Ping,120.28.65.208,ping,67553802,60,1707395047
190.378422,,5080,2.6.2,41,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,167.415919,192.7895,183.527947,67553802,1005856,1707394973,Ping,49.237.47.57,ping,67553802,60,1707395112
192.7895,,5080,2.6.2,41,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,167.415919,192.7895,183.527947,67553802,1005856,1707394973,Ping,49.237.47.57,ping,67553802,60,1707395112
167.415919,,5080,2.6.2,41,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,167.415919,192.7895,183.527947,67553802,1005856,1707394973,Ping,49.237.47.57,ping,67553802,60,1707395112
189.788964,,5080,2.6.2,43,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,188.004759,225.788818,201.1941803333,67553802,1005856,1707394922,Ping,49.237.47.57,ping,67553802,60,1707395016
225.788818,,5080,2.6.2,43,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,188.004759,225.788818,201.1941803333,67553802,1005856,1707394922,Ping,49.237.47.57,ping,67553802,60,1707395016
188.004759,,5080,2.6.2,43,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,188.004759,225.788818,201.1941803333,67553802,1005856,1707394922,Ping,49.237.47.57,ping,67553802,60,1707395016
45.681451,,5080,2.6.2,13,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,43.973014,55.261449,48.3053046667,67553802,1006477,1707394976,Ping,14.1.64.76,ping,67553802,60,1707395081
43.973014,,5080,2.6.2,13,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,43.973014,55.261449,48.3053046667,67553802,1006477,1707394976,Ping,14.1.64.76,ping,67553802,60,1707395081
55.261449,,5080,2.6.2,13,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,43.973014,55.261449,48.3053046667,67553802,1006477,1707394976,Ping,14.1.64.76,ping,67553802,60,1707395081
52.267283,,5080,2.6.2,28,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,47.109888,57.644262,52.3404776667,67553802,1006477,1707394920,Ping,14.1.64.76,ping,67553802,60,1707395081
57.644262,,5080,2.6.2,28,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,47.109888,57.644262,52.3404776667,67553802,1006477,1707394920,Ping,14.1.64.76,ping,67553802,60,1707395081
47.109888,,5080,2.6.2,28,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,47.109888,57.644262,52.3404776667,67553802,1006477,1707394920,Ping,14.1.64.76,ping,67553802,60,1707395081
244.753447,,5040,2.4.1,33,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,213.702927,244.753447,227.326998,67553802,1004353,1707395031,Ping,145.224.97.98,ping,67553802,60,1707395164
223.52462,,5040,2.4.1,33,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,213.702927,244.753447,227.326998,67553802,1004353,1707395031,Ping,145.224.97.98,ping,67553802,60,1707395164
213.702927,,5040,2.4.1,33,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,213.702927,244.753447,227.326998,67553802,1004353,1707395031,Ping,145.224.97.98,ping,67553802,60,1707395164
7.689577,,5080,2.6.2,233,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,7.689577,10.17618,8.5442696667,67553802,1005846,1707395031,Ping,120.28.65.208,ping,67553802,60,1707395121
10.17618,,5080,2.6.2,233,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,7.689577,10.17618,8.5442696667,67553802,1005846,1707395031,Ping,120.28.65.208,ping,67553802,60,1707395121
7.767052,,5080,2.6.2,233,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,7.689577,10.17618,8.5442696667,67553802,1005846,1707395031,Ping,120.28.65.208,ping,67553802,60,1707395121
168.076835,,5080,2.6.2,50,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,168.076835,182.822559,175.2092666667,67553802,1005856,1707395039,Ping,49.237.47.57,ping,67553802,60,1707395151
174.728406,,5080,2.6.2,50,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,168.076835,182.822559,175.2092666667,67553802,1005856,1707395039,Ping,49.237.47.57,ping,67553802,60,1707395151
182.822559,,5080,2.6.2,50,8.212.139.140,4,8.212.139.140,10.133.102.122,ICMP,86,48,0,3,3,168.076835,182.822559,175.2092666667,67553802,1005856,1707395039,Ping,49.237.47.57,ping,67553802,60,1707395151
43.308639,,5080,2.6.2,68,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,42.653848,59.448167,48.470218,67553802,1006477,1707395031,Ping,14.1.64.76,ping,67553802,60,1707395160
42.653848,,5080,2.6.2,68,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,42.653848,59.448167,48.470218,67553802,1006477,1707395031,Ping,14.1.64.76,ping,67553802,60,1707395160
59.448167,,5080,2.6.2,68,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,42.653848,59.448167,48.470218,67553802,1006477,1707395031,Ping,14.1.64.76,ping,67553802,60,1707395160
232.874131,,5040,2.4.1,51,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,224.089494,232.874131,229.0865993333,67553802,1004353,1707395098,Ping,145.224.97.98,ping,67553802,60,1707395230
224.089494,,5040,2.4.1,51,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,224.089494,232.874131,229.0865993333,67553802,1004353,1707395098,Ping,145.224.97.98,ping,67553802,60,1707395230
230.296173,,5040,2.4.1,51,8.212.139.140,4,8.212.139.140,10.13.37.1,ICMP,85,48,0,3,3,224.089494,232.874131,229.0865993333,67553802,1004353,1707395098,Ping,145.224.97.98,ping,67553802,60,1707395230
7.60132,,5080,2.6.2,51,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,7.60132,14.169732,10.1466096667,67553802,1005846,1707395099,Ping,120.28.65.208,ping,67553802,60,1707395181
14.169732,,5080,2.6.2,51,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,7.60132,14.169732,10.1466096667,67553802,1005846,1707395099,Ping,120.28.65.208,ping,67553802,60,1707395181
8.668777,,5080,2.6.2,51,8.212.139.140,4,8.212.139.140,192.168.1.11,ICMP,93,48,0,3,3,7.60132,14.169732,10.1466096667,67553802,1005846,1707395099,Ping,120.28.65.208,ping,67553802,60,1707395181
50.539523,,5080,2.6.2,14,8.212.139.140,4,8.212.139.140,172.16.52.116,ICMP,94,48,0,3,3,46.581294,57.280512,51.4671096667,67553802,1006477,1707395098,Ping,14.1.64.76,ping,67553802,60,1707395238
